,precision,recall,f1-score,support
lymphedema,0.9223300970873787,0.9405940594059405,0.9313725490196079,101.0
lymphogranuloma venereum,0.75,0.75,0.75,4.0
lymphoma,1.0,0.8888888888888888,0.9411764705882353,27.0
macular degeneration,0.7516339869281046,0.6318681318681318,0.6865671641791045,182.0
magnesium deficiency,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
malaria,1.0,0.6666666666666666,0.8,3.0
male genitalia infection,1.0,1.0,1.0,28.0
malignant hypertension,0.9166666666666666,0.9166666666666666,0.9166666666666666,36.0
marijuana abuse,0.7148936170212766,0.6942148760330579,0.7044025157232704,242.0
mastectomy,1.0,1.0,1.0,3.0
mastoiditis,0.6944444444444444,0.8620689655172413,0.7692307692307693,29.0
melanoma,1.0,0.9629629629629629,0.9811320754716981,54.0
meniere disease,0.9074074074074074,0.875,0.8909090909090909,56.0
meningioma,1.0,0.5,0.6666666666666666,4.0
meningitis,0.9074074074074074,0.8305084745762712,0.8672566371681416,59.0
menopause,1.0,0.7333333333333333,0.8461538461538461,15.0
metabolic disorder,1.0,0.8571428571428571,0.9230769230769231,7.0
metastatic cancer,0.8333333333333334,1.0,0.9090909090909091,5.0
migraine,0.8444444444444444,0.8636363636363636,0.8539325842696629,44.0
missed abortion,0.8450704225352113,0.8,0.821917808219178,75.0
mitral valve disease,0.8301886792452831,0.8712871287128713,0.8502415458937198,101.0
mittelschmerz,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
molluscum contagiosum,0.6696428571428571,0.7352941176470589,0.7009345794392523,102.0
mononeuritis,0.8066666666666666,0.8962962962962963,0.8491228070175438,135.0
mononucleosis,0.8714285714285714,0.9242424242424242,0.8970588235294118,66.0
moyamoya disease,1.0,1.0,1.0,2.0
mucositis,0.9642857142857143,0.9310344827586207,0.9473684210526315,58.0
multiple myeloma,0.9090909090909091,1.0,0.9523809523809523,10.0
multiple sclerosis,0.8961748633879781,0.9010989010989011,0.8986301369863013,182.0
mumps,0.875,0.7777777777777778,0.8235294117647058,9.0
muscle spasm,0.7898550724637681,0.8014705882352942,0.7956204379562044,136.0
muscular dystrophy,1.0,1.0,1.0,9.0
myasthenia gravis,1.0,0.8148148148148148,0.8979591836734694,27.0
myoclonus,0.0,0.0,0.0,2.0
myopia,0.8674698795180723,0.8,0.8323699421965318,90.0
myositis,0.8620689655172413,0.9259259259259259,0.8928571428571429,27.0
narcolepsy,0.8918918918918919,0.8918918918918919,0.8918918918918919,37.0
nasal polyp,0.9305555555555556,0.9436619718309859,0.9370629370629371,71.0
neonatal jaundice,0.875,1.0,0.9333333333333333,7.0
nerve impingement near the shoulder,0.8548387096774194,0.9464285714285714,0.8983050847457628,56.0
neuralgia,0.5428571428571428,0.5547445255474452,0.5487364620938628,137.0
neurofibromatosis,0.6666666666666666,1.0,0.8,6.0
neuropathy due to drugs,1.0,1.0,1.0,8.0
neurosis,0.9064327485380117,0.8611111111111112,0.8831908831908832,180.0
nonalcoholic liver disease (nash),1.0,1.0,1.0,12.0
noninfectious gastroenteritis,0.6072874493927125,0.6224066390041494,0.6147540983606558,241.0
normal pressure hydrocephalus,1.0,0.8,0.8888888888888888,5.0
nose disorder,0.8678414096916299,0.8073770491803278,0.8365180467091295,244.0
obsessive compulsive disorder (ocd),0.9139784946236559,0.9340659340659341,0.9239130434782609,91.0
obstructive sleep apnea (osa),0.9833333333333333,0.9874476987447699,0.9853862212943633,239.0
onychomycosis,0.85,0.8415841584158416,0.845771144278607,101.0
open wound of the arm,0.0,0.0,0.0,2.0
open wound of the ear,1.0,1.0,1.0,7.0
open wound of the eye,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
open wound of the foot,1.0,0.6,0.75,5.0
open wound of the lip,0.625,1.0,0.7692307692307693,5.0
open wound of the mouth,1.0,0.8947368421052632,0.9444444444444444,19.0
open wound of the neck,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
open wound of the nose,0.0,0.0,0.0,2.0
oppositional disorder,0.9411764705882353,0.9302325581395349,0.935672514619883,86.0
optic neuritis,0.0,0.0,0.0,2.0
oral mucosal lesion,0.8934426229508197,0.9008264462809917,0.897119341563786,121.0
oral thrush (yeast infection),0.9507042253521126,0.9926470588235294,0.9712230215827338,136.0
orbital cellulitis,0.96875,0.9117647058823529,0.9393939393939394,34.0
orthostatic hypotension,0.8888888888888888,0.8421052631578947,0.8648648648648649,57.0
osteoarthritis,0.9392265193370166,0.9497206703910615,0.9444444444444444,179.0
osteochondroma,0.9534883720930233,0.9761904761904762,0.9647058823529412,42.0
osteochondrosis,0.9523809523809523,0.9090909090909091,0.9302325581395349,22.0
osteomyelitis,0.925,0.9736842105263158,0.9487179487179487,38.0
osteoporosis,0.974025974025974,0.9868421052631579,0.9803921568627451,76.0
otitis externa (swimmer's ear),0.8901098901098901,0.8950276243093923,0.8925619834710744,181.0
otitis media,0.7595628415300546,0.7637362637362637,0.7616438356164383,182.0
otosclerosis,0.5,0.25,0.3333333333333333,4.0
ovarian cancer,0.0,0.0,0.0,4.0
ovarian cyst,0.7857142857142857,0.77,0.7777777777777778,100.0
ovarian torsion,0.8666666666666667,1.0,0.9285714285714286,13.0
overflow incontinence,0.9473684210526315,0.8571428571428571,0.9,42.0
pain after an operation,0.9388888888888889,0.9285714285714286,0.9337016574585635,182.0
pain disorder affecting the neck,0.9324324324324325,0.8961038961038961,0.9139072847682119,77.0
pancreatic cancer,0.975609756097561,0.975609756097561,0.975609756097561,41.0
panic attack,1.0,0.8947368421052632,0.9444444444444444,38.0
panic disorder,0.9016393442622951,0.9065934065934066,0.9041095890410958,182.0
parasitic disease,1.0,1.0,1.0,15.0
parathyroid adenoma,0.8,1.0,0.8888888888888888,4.0
parkinson disease,0.9306930693069307,0.912621359223301,0.9215686274509803,103.0
paronychia,0.9882352941176471,0.9545454545454546,0.9710982658959537,88.0
paroxysmal supraventricular tachycardia,0.7848101265822784,0.8266666666666667,0.8051948051948052,75.0
paroxysmal ventricular tachycardia,0.7971014492753623,0.8208955223880597,0.8088235294117647,134.0
pelvic inflammatory disease,0.8055555555555556,0.8055555555555556,0.8055555555555556,180.0
pelvic organ prolapse,0.898876404494382,0.9090909090909091,0.903954802259887,88.0
pericarditis,0.8787878787878788,1.0,0.9354838709677419,29.0
peripheral arterial disease,0.8214285714285714,1.0,0.9019607843137255,23.0
peripheral arterial embolism,1.0,0.9259259259259259,0.9615384615384616,27.0
peripheral nerve disorder,0.9148936170212766,0.8847736625514403,0.899581589958159,243.0
perirectal infection,1.0,1.0,1.0,27.0
peritonitis,0.9402985074626866,0.8289473684210527,0.8811188811188811,76.0
peritonsillar abscess,0.9574468085106383,0.9183673469387755,0.9375,49.0
persistent vomiting of unknown cause,0.8333333333333334,0.6756756756756757,0.746268656716418,37.0
personality disorder,0.4691358024691358,0.4175824175824176,0.4418604651162791,182.0
peyronie disease,0.5,1.0,0.6666666666666666,4.0
pharyngitis,1.0,1.0,1.0,4.0
